word,specfiles,rpms,as prefix,as suffix,meaning
dia,7,7,6,0,
escape,7,8,0,3,
socket,7,10,0,6,
inotify,7,13,2,7,
1.0,7,14,0,0,
cookie,7,9,0,4,
merge,7,7,0,3,
gnu,7,19,14,0,
queue,7,10,0,6,
jamon,7,12,12,0,
slf4j,7,20,9,8,
mapnik,7,12,4,4,
mkdocs,7,8,7,0,
nacl,7,9,8,0,
nafees,7,7,7,0,
promise,7,7,0,6,
es6,7,7,0,0,
strip,7,7,0,1,
Moose,7,8,0,6,
Cmd,7,7,0,7,
Hooks,7,8,0,0,
API,7,7,0,6,
PSGI,7,7,0,7,
Schema,7,7,0,4,
Build,7,7,0,2,
Exception,7,7,0,3,
Tidy,7,7,0,6,
Rule,7,7,0,3,
Pluggable,7,8,0,6,
Middleware,7,7,0,0,
bluetooth,6,8,0,5,
tui,6,7,0,6,
wifi,6,6,1,5,
abrt,6,38,25,5,
gedit,6,28,26,1,
line,6,6,0,1,
import,6,14,1,1,
scheduler,6,9,0,4,
fast,6,8,0,2,
android,6,8,5,2,
gsm,6,19,3,13,
xmpp,6,6,0,6,
thumbnailer,6,6,0,6,
augeas,6,12,4,5,
zh,6,13,0,3,
bench,6,6,0,5,
sh,6,9,0,5,
debugger,6,8,0,3,
maps,6,7,0,6,
ceph,6,20,13,2,
emoji,6,9,1,1,
ovirt,6,10,8,1,
lvm,6,10,0,4,
term,6,7,0,4,
copy,6,9,1,3,
models,6,6,0,6,
deepin,6,8,8,0,
persistent,6,16,0,4,
gpg,6,10,0,5,
dnf,6,35,7,4,
dpm,6,18,14,0,
easy,6,11,1,2,
jsf,6,9,0,2,
wallpapers,6,7,0,6,
voikko,6,6,1,5,
sasl,6,20,0,6,
wx,6,7,0,6,
oauth2,6,8,0,6,
notes,6,11,0,5,
store,6,10,0,7,
directory,6,8,1,4,
servant,6,14,0,1,
cors,6,10,0,4,
bn,6,7,0,7,
kn,6,6,0,6,
lv,6,9,0,8,
mk,6,10,1,5,
st,6,7,1,5,
ta,6,7,0,7,
te,6,6,0,6,
the,6,7,2,1,
block,6,13,0,2,
calculator,6,7,0,5,
classic,6,6,0,1,
screenshot,6,6,1,4,
no,6,8,1,2,
plus,6,10,0,6,
workspace,6,16,0,3,
guile,6,9,6,2,
aws-sdk,6,80,71,2,project name
lockfile,6,9,1,6,
zyedidia,6,11,0,0,
token,6,7,0,3,
gst,6,10,8,1,
stats,6,13,0,3,
hub,6,10,0,8,
kcm,6,6,2,4,
btrfs,6,9,5,3,
cim,6,12,2,3,
lirc,6,15,12,3,
cgi,6,6,0,6,
benchmark,6,8,0,5,
sandbox,6,10,0,5,
taglib,6,10,5,4,
xz,6,17,6,4,
identity,6,8,0,6,
patch,6,10,0,4,
pcsc,6,11,11,0,
geoip,6,7,0,6,
Gnome2,6,6,0,1,
Message,6,9,0,4,
PDF,6,6,0,1,
LibXML,6,6,0,3,
gmp,6,13,6,5,
streams,6,11,0,5,
Auth,6,6,0,1,
pulp,6,47,34,0,project name
consumer,6,7,0,3,
puppet,6,16,4,1,
influxdb,6,14,0,2,
msgpack,6,10,1,5,
private,6,6,0,3,
vnc,6,9,2,5,
syslog,6,16,10,4,
sys,6,7,0,0,
datetime,6,8,0,5,
packaging,6,8,0,5,
init,6,6,0,5,
signon,6,10,8,1,
notifications,6,7,0,4,
switch,6,8,0,2,
thai,6,27,18,4,
profiles,6,15,0,2,
images,6,7,0,5,
anthy,6,9,1,5,
X11,6,8,0,2,
symbol,6,6,0,4,
xscreensaver,6,13,7,5,
rules,6,6,0,6,
highlight,6,11,1,4,
Angular,6,13,0,2,
Search,6,8,0,4,
title,6,7,0,2,
antlr,6,15,7,5,
swing,6,6,1,5,
groovy,6,26,20,4,
blueprint,6,12,0,1,
babel,6,126,1,9,
bitmap,6,11,5,0,
